Time [ms],CPU usage [%],Used [B]
"4:57:41.521 PM, Mar 2, 2025",0,"32,526,352"
"4:57:42.522 PM, Mar 2, 2025",0,"32,526,352"
"4:57:43.523 PM, Mar 2, 2025",0.1,"32,526,352"
"4:57:44.524 PM, Mar 2, 2025",0,"32,526,352"
"4:57:45.525 PM, Mar 2, 2025",0,"32,526,352"
"4:57:46.526 PM, Mar 2, 2025",0,"32,526,352"
"4:57:47.526 PM, Mar 2, 2025",0.1,"32,526,352"
"4:57:48.527 PM, Mar 2, 2025",0,"32,526,352"
"4:57:49.527 PM, Mar 2, 2025",0,"32,526,352"
"4:57:50.528 PM, Mar 2, 2025",0.1,"32,526,352"
"4:57:51.528 PM, Mar 2, 2025",0,"32,526,352"
"4:57:52.529 PM, Mar 2, 2025",0,"32,526,352"
"4:57:53.530 PM, Mar 2, 2025",0,"8,926,104"
"4:57:54.531 PM, Mar 2, 2025",1.8,"13,955,528"
"4:57:55.532 PM, Mar 2, 2025",1.8,"22,344,136"
"4:57:56.532 PM, Mar 2, 2025",0.2,"22,344,136"
"4:57:57.532 PM, Mar 2, 2025",0.1,"22,344,136"
"4:57:58.533 PM, Mar 2, 2025",0.1,"22,344,136"
"4:57:59.547 PM, Mar 2, 2025",0.2,"22,344,136"
"4:58:00.549 PM, Mar 2, 2025",0.3,"22,344,136"
"4:58:01.563 PM, Mar 2, 2025",0.2,"22,344,136"
"4:58:02.565 PM, Mar 2, 2025",0.1,"22,344,136"
"4:58:03.566 PM, Mar 2, 2025",0,"22,344,136"
"4:58:04.569 PM, Mar 2, 2025",0,"22,344,136"
"4:58:05.573 PM, Mar 2, 2025",0.3,"22,344,136"
"4:58:06.578 PM, Mar 2, 2025",0,"24,441,288"
"4:58:07.588 PM, Mar 2, 2025",2.1,"28,635,592"
"4:58:08.590 PM, Mar 2, 2025",0,"30,732,744"
"4:58:09.592 PM, Mar 2, 2025",0,"30,732,744"
"4:58:10.593 PM, Mar 2, 2025",0.5,"30,732,744"
"4:58:11.594 PM, Mar 2, 2025",0,"30,732,744"
"4:58:12.595 PM, Mar 2, 2025",0.1,"30,732,744"
"4:58:13.595 PM, Mar 2, 2025",0.1,"30,732,744"
"4:58:14.595 PM, Mar 2, 2025",0.2,"30,732,744"
"4:58:15.596 PM, Mar 2, 2025",0,"30,732,744"
"4:58:16.596 PM, Mar 2, 2025",0,"30,732,744"
"4:58:17.597 PM, Mar 2, 2025",0,"30,732,744"
"4:58:18.597 PM, Mar 2, 2025",0,"30,732,744"
"4:58:19.598 PM, Mar 2, 2025",0,"30,732,744"
"4:58:20.599 PM, Mar 2, 2025",3.5,"25,574,952"
"4:58:21.600 PM, Mar 2, 2025",0,"25,574,952"
"4:58:22.600 PM, Mar 2, 2025",0,"25,574,952"
"4:58:23.601 PM, Mar 2, 2025",0,"25,574,952"
"4:58:24.601 PM, Mar 2, 2025",0,"25,574,952"
"4:58:25.602 PM, Mar 2, 2025",0,"27,672,104"
"4:58:26.602 PM, Mar 2, 2025",0,"27,672,104"
"4:58:27.602 PM, Mar 2, 2025",0,"27,672,104"
"4:58:28.603 PM, Mar 2, 2025",0,"27,672,104"
"4:58:29.604 PM, Mar 2, 2025",0,"27,672,104"
"4:58:30.605 PM, Mar 2, 2025",0,"27,672,104"
"4:58:31.606 PM, Mar 2, 2025",0,"27,672,104"
"4:58:32.606 PM, Mar 2, 2025",0,"27,672,104"
"4:58:33.606 PM, Mar 2, 2025",6.3,"44,147,400"
"4:58:34.607 PM, Mar 2, 2025",0,"44,147,400"
"4:58:35.608 PM, Mar 2, 2025",0,"44,147,400"
"4:58:36.608 PM, Mar 2, 2025",0,"44,147,400"
"4:58:37.608 PM, Mar 2, 2025",0,"46,244,552"
"4:58:38.609 PM, Mar 2, 2025",0,"46,244,552"
"4:58:39.610 PM, Mar 2, 2025",0,"46,244,552"
"4:58:40.610 PM, Mar 2, 2025",0,"46,244,552"
"4:58:41.611 PM, Mar 2, 2025",0,"46,244,552"
"4:58:42.612 PM, Mar 2, 2025",0,"46,244,552"
"4:58:43.613 PM, Mar 2, 2025",0,"46,244,552"
"4:58:44.614 PM, Mar 2, 2025",0,"46,244,552"
"4:58:45.614 PM, Mar 2, 2025",0,"48,341,704"
"4:58:46.615 PM, Mar 2, 2025",29.1,"46,562,848"
"4:58:47.616 PM, Mar 2, 2025",11.1,"63,843,608"
"4:58:48.617 PM, Mar 2, 2025",0,"63,843,608"
"4:58:49.618 PM, Mar 2, 2025",0.2,"65,940,760"
"4:58:50.618 PM, Mar 2, 2025",0.1,"68,037,912"
"4:58:51.619 PM, Mar 2, 2025",0.1,"68,037,912"
"4:58:52.620 PM, Mar 2, 2025",0.6,"70,135,064"
"4:58:53.621 PM, Mar 2, 2025",0,"72,232,216"
"4:58:54.621 PM, Mar 2, 2025",0,"72,232,216"
"4:58:55.622 PM, Mar 2, 2025",0,"74,329,368"
"4:58:56.638 PM, Mar 2, 2025",0.3,"76,426,520"
"4:58:57.638 PM, Mar 2, 2025",0,"76,426,520"
"4:58:58.639 PM, Mar 2, 2025",0,"78,523,672"
"4:58:59.642 PM, Mar 2, 2025",19.2,"105,229,800"
"4:59:00.644 PM, Mar 2, 2025",51.5,"83,500,032"
"4:59:01.642 PM, Mar 2, 2025",7.5,"73,069,632"
"4:59:02.643 PM, Mar 2, 2025",0,"75,166,784"
"4:59:03.643 PM, Mar 2, 2025",0,"77,263,936"
"4:59:04.644 PM, Mar 2, 2025",0,"79,361,088"
"4:59:05.644 PM, Mar 2, 2025",0,"81,458,240"
