Time [ms],CPU usage [%],Used [B]
"5:10:32.394 PM, Mar 2, 2025",0.1,"18,497,896"
"5:10:33.394 PM, Mar 2, 2025",0,"18,497,896"
"5:10:34.395 PM, Mar 2, 2025",0,"18,497,896"
"5:10:35.407 PM, Mar 2, 2025",0.1,"18,497,896"
"5:10:36.408 PM, Mar 2, 2025",0,"18,497,896"
"5:10:37.409 PM, Mar 2, 2025",0,"18,497,896"
"5:10:38.409 PM, Mar 2, 2025",0,"18,497,896"
"5:10:39.411 PM, Mar 2, 2025",0.1,"18,497,896"
"5:10:40.411 PM, Mar 2, 2025",0,"18,497,896"
"5:10:41.412 PM, Mar 2, 2025",0,"20,595,048"
"5:10:42.413 PM, Mar 2, 2025",0.2,"20,595,048"
"5:10:43.413 PM, Mar 2, 2025",0,"20,595,048"
"5:10:44.414 PM, Mar 2, 2025",0.1,"20,595,048"
"5:10:45.415 PM, Mar 2, 2025",4.4,"12,564,728"
"5:10:46.416 PM, Mar 2, 2025",0.1,"12,564,728"
"5:10:47.417 PM, Mar 2, 2025",0.1,"14,661,880"
"5:10:48.418 PM, Mar 2, 2025",0,"14,661,880"
"5:10:49.419 PM, Mar 2, 2025",0,"14,661,880"
"5:10:50.419 PM, Mar 2, 2025",0,"14,661,880"
"5:10:51.420 PM, Mar 2, 2025",0.1,"14,661,880"
"5:10:52.420 PM, Mar 2, 2025",0.1,"14,661,880"
"5:10:53.420 PM, Mar 2, 2025",0.1,"14,661,880"
"5:10:54.421 PM, Mar 2, 2025",0,"14,661,880"
"5:10:55.422 PM, Mar 2, 2025",0,"14,661,880"
"5:10:56.423 PM, Mar 2, 2025",0,"14,661,880"
"5:10:57.424 PM, Mar 2, 2025",0.3,"16,759,032"
"5:10:58.425 PM, Mar 2, 2025",2,"18,856,184"
"5:10:59.426 PM, Mar 2, 2025",0,"18,856,184"
"5:11:00.427 PM, Mar 2, 2025",0.3,"18,856,184"
"5:11:01.441 PM, Mar 2, 2025",0,"20,953,336"
"5:11:02.443 PM, Mar 2, 2025",0,"20,953,336"
"5:11:03.444 PM, Mar 2, 2025",0.2,"20,953,336"
"5:11:04.445 PM, Mar 2, 2025",0,"20,953,336"
"5:11:05.445 PM, Mar 2, 2025",0.1,"20,953,336"
"5:11:06.446 PM, Mar 2, 2025",0,"20,953,336"
"5:11:07.446 PM, Mar 2, 2025",0.2,"20,953,336"
"5:11:08.447 PM, Mar 2, 2025",0,"20,953,336"
"5:11:09.448 PM, Mar 2, 2025",0.1,"20,953,336"
"5:11:10.448 PM, Mar 2, 2025",0.7,"29,341,944"
"5:11:11.448 PM, Mar 2, 2025",1,"41,924,856"
"5:11:12.449 PM, Mar 2, 2025",0,"41,924,856"
"5:11:13.450 PM, Mar 2, 2025",0,"41,924,856"
"5:11:14.450 PM, Mar 2, 2025",0,"41,924,856"
"5:11:15.451 PM, Mar 2, 2025",0,"41,924,856"
"5:11:16.452 PM, Mar 2, 2025",0,"41,924,856"
"5:11:17.452 PM, Mar 2, 2025",0.1,"41,924,856"
"5:11:18.453 PM, Mar 2, 2025",0,"41,924,856"
"5:11:19.454 PM, Mar 2, 2025",0,"41,924,856"
"5:11:20.456 PM, Mar 2, 2025",0,"44,022,008"
"5:11:21.457 PM, Mar 2, 2025",0,"44,022,008"
"5:11:22.457 PM, Mar 2, 2025",0,"44,022,008"
"5:11:23.457 PM, Mar 2, 2025",1.8,"58,702,072"
"5:11:24.458 PM, Mar 2, 2025",2.8,"29,914,336"
"5:11:25.458 PM, Mar 2, 2025",0,"29,914,336"
"5:11:26.459 PM, Mar 2, 2025",0,"29,914,336"
